Ort,Bundesland,Land
Oer-Erkenschwick,Nordrhein-Westfalen,Deutschland
Ruhmannsfelden,Bayern,Deutschland
Vetschau,Nordrhein-Westfalen,Deutschland
Lübtheen,Mecklenburg-Vorpommern,Deutschland
Eiterfeld,Hessen,Deutschland
Hirschberg an der Bergstraße,Baden-Württemberg,Deutschland
Hermannsburg,Niedersachsen,Deutschland
Bestwig,Nordrhein-Westfalen,Deutschland
Brühl,Nordrhein-Westfalen,Deutschland
Lichtenau,Nordrhein-Westfalen,Deutschland
Dobel,Baden-Württemberg,Deutschland
Weißenfels,Sachsen-Anhalt,Deutschland
Seligenstadt,Hessen,Deutschland
Baden-Baden,Baden-Württemberg,Deutschland
Eberswalde,Brandenburg,Deutschland
Klietz,Sachsen-Anhalt,Deutschland
Kinding,Bayern,Deutschland
Biebesheim,Hessen,Deutschland
Bad Harzburg,Niedersachsen,Deutschland
Hamburg,Hamburg,Deutschland
Donnersdorf,Bayern,Deutschland
Heidelberg,Baden-Württemberg,Deutschland
Zirndorf,Bayern,Deutschland
Rheine,Nordrhein-Westfalen,Deutschland
Kumhausen,Bayern,Deutschland
Werder (Havel),Brandenburg,Deutschland
Kalkar,Nordrhein-Westfalen,Deutschland
Nörtershausen,Rheinland-Pfalz,Deutschland
Dötlingen,Niedersachsen,Deutschland
Freilassing,Bayern,Deutschland
Havelaue,Brandenburg,Deutschland
Marloffstein,Bayern,Deutschland
Melsungen,Hessen,Deutschland
Weil im Schönbuch,Baden-Württemberg,Deutschland
Laatzen,Niedersachsen,Deutschland
Halle,Nordrhein-Westfalen,Deutschland
Rathenow,Brandenburg,Deutschland
Illingen,Baden-Württemberg,Deutschland
Sargstedt,Sachsen-Anhalt,Deutschland
Dreieich,Hessen,Deutschland
København,NA,NA
Lauterbach,Hessen,Deutschland
Jena,Thüringen,Deutschland
Drage,Schleswig-Holstein,Deutschland
Stralsund,Mecklenburg-Vorpommern,Deutschland
Katlenburg-Lindau,Niedersachsen,Deutschland
Ludwigshafen am Rhein,Rheinland-Pfalz,Deutschland
Ulm,Baden-Württemberg,Deutschland
Lamsfeld-Groß Liebitz,Brandenburg,Deutschland
Rendsburg,Schleswig-Holstein,Deutschland
Bodenmais,Bayern,Deutschland
Driedorf,Hessen,Deutschland
Oschatz,Sachsen,Deutschland
Peißenberg,Bayern,Deutschland
Bad Wiessee,Bayern,Deutschland
Kaufbeuren,Bayern,Deutschland
Sülzfeld,Thüringen,Deutschland
Neubrandenburg,Mecklenburg-Vorpommern,Deutschland
Leinefelde-Worbis,Thüringen,Deutschland
Bad Honnef,Nordrhein-Westfalen,Deutschland
Viechtach,Bayern,Deutschland
Garching bei München,Bayern,Deutschland
Lohne (Oldenburg),Niedersachsen,Deutschland
Unterhaching,Bayern,Deutschland
Laubach,Hessen,Deutschland
Rot am See,Baden-Württemberg,Deutschland
Hückelhoven,Nordrhein-Westfalen,Deutschland
Stolberg (Rheinland),Nordrhein-Westfalen,Deutschland
Münster,Nordrhein-Westfalen,Deutschland
Artern,Thüringen,Deutschland
Baiersbronn,Baden-Württemberg,Deutschland
Schmelz,Saarland,Deutschland
Hagen,Nordrhein-Westfalen,Deutschland
Kahla,Thüringen,Deutschland
Eresing,Bayern,Deutschland
Bobingen,Bayern,Deutschland
Karstädt,Brandenburg,Deutschland
Schlieben,Brandenburg,Deutschland
Reisbach,Bayern,Deutschland
Coburg,Bayern,Deutschland
Bad Berleburg,Nordrhein-Westfalen,Deutschland
Regensburg,Bayern,Deutschland
Forst,Brandenburg,Deutschland
Scheinfeld,Bayern,Deutschland
Hümmerich,Rheinland-Pfalz,Deutschland
Mölln,Schleswig-Holstein,Deutschland
Neuenhagen,Brandenburg,Deutschland
Daun,Rheinland-Pfalz,Deutschland
Bottrop,Nordrhein-Westfalen,Deutschland
Scheßlitz,Bayern,Deutschland
Bad Nauheim,Hessen,Deutschland
Mintraching,Bayern,Deutschland
Neumarkt in der Oberpfalz,Bayern,Deutschland
Würzburg,Bayern,Deutschland
Alzey,Rheinland-Pfalz,Deutschland
Rödermark,Hessen,Deutschland
Wechmar,Thüringen,Deutschland
Friedland,Mecklenburg-Vorpommern,Deutschland
Hennigsdorf,Brandenburg,Deutschland
Tetenhusen,Schleswig-Holstein,Deutschland
Altshausen,Baden-Württemberg,Deutschland
Porza,NA,NA
Elsenfeld,Bayern,Deutschland
Metelen,Nordrhein-Westfalen,Deutschland
Poing,Bayern,Deutschland
Herzogenaurach,Bayern,Deutschland
Burbach,Rheinland-Pfalz,Deutschland
Verl,Nordrhein-Westfalen,Deutschland
Olsberg,Nordrhein-Westfalen,Deutschland
Warstein,Nordrhein-Westfalen,Deutschland
Würselen,Nordrhein-Westfalen,Deutschland
Prerow,Mecklenburg-Vorpommern,Deutschland
Aichach,Bayern,Deutschland
Grebenhain,Hessen,Deutschland
Kammerstein,Bayern,Deutschland
Wipperfürth,Nordrhein-Westfalen,Deutschland
Penig,Sachsen,Deutschland
Ebersberg,Bayern,Deutschland
Abensberg,Bayern,Deutschland
AT- Salzburg,NA,NA
Brüggen,Nordrhein-Westfalen,Deutschland
Dietzenbach,Hessen,Deutschland
Horstmar,Nordrhein-Westfalen,Deutschland
Judenbach,Thüringen,Deutschland
Kreuztal,Nordrhein-Westfalen,Deutschland
Starnberg,Bayern,Deutschland
Gelnhausen,Hessen,Deutschland
Bad Vilbel,Hessen,Deutschland
Niederkrüchten,Nordrhein-Westfalen,Deutschland
Gehofen,Thüringen,Deutschland
Bergisch Gladbach,Nordrhein-Westfalen,Deutschland
Uplengen,Niedersachsen,Deutschland
Göttingen,Niedersachsen,Deutschland
Rietheim-Weilheim,Baden-Württemberg,Deutschland
Bamberg,Bayern,Deutschland
Berkholz-Meyenburg,Brandenburg,Deutschland
Röblingen am See,Sachsen-Anhalt,Deutschland
Tuttlingen,Baden-Württemberg,Deutschland
Merching,Bayern,Deutschland
Dörverden,Niedersachsen,Deutschland
Altlandsberg,Brandenburg,Deutschland
Langwedel,Schleswig-Holstein,Deutschland
Biebesheim am Rhein,Hessen,Deutschland
Neustadt,Rheinland-Pfalz,Deutschland
Lüdenscheid,Nordrhein-Westfalen,Deutschland
Tirschenreuth,Bayern,Deutschland
Heilbad Heiligenstadt,Thüringen,Deutschland
Neuburg am Inn,Bayern,Deutschland
Pfaffenhofen an der Ilm,Bayern,Deutschland
Auerbach/Vogtland,Sachsen,Deutschland
Kleinmachnow,Brandenburg,Deutschland
Winkelsett,Niedersachsen,Deutschland
Schmalkalden,Thüringen,Deutschland
Sulzemoos,Bayern,Deutschland
Bad Sassendorf,Nordrhein-Westfalen,Deutschland
Hilpoltstein,Bayern,Deutschland
Hardebek,Schleswig-Holstein,Deutschland
Kölln-Reisiek,Schleswig-Holstein,Deutschland
Sulzbach/Saar,Saarland,Deutschland
erfurt,Thüringen,Deutschland
Putgarten,Mecklenburg-Vorpommern,Deutschland
Hauenstein,Rheinland-Pfalz,Deutschland
Gelsenkirchen,Nordrhein-Westfalen,Deutschland
Zerbst,Sachsen-Anhalt,Deutschland
Pfeffenhausen,Bayern,Deutschland
CH- Thalwil,NA,NA
Arnstein,Bayern,Deutschland
Ebern,Bayern,Deutschland
St. Wendel,Saarland,Deutschland
Meiningen,Thüringen,Deutschland
Kirchen (Sieg),Rheinland-Pfalz,Deutschland
Merseburg,Sachsen-Anhalt,Deutschland
Weyerbusch,Rheinland-Pfalz,Deutschland
Schramberg,Baden-Württemberg,Deutschland
Titisee-Neustadt,Baden-Württemberg,Deutschland
Spremberg,Brandenburg,Deutschland
Kupferzell,Baden-Württemberg,Deutschland
Hohen Demzin,Mecklenburg-Vorpommern,Deutschland
Selb,Bayern,Deutschland
Eisenberg,Thüringen,Deutschland
Buchloe,Bayern,Deutschland
Karben,Hessen,Deutschland
Straelen,Nordrhein-Westfalen,Deutschland
Gaukönigshofen,Bayern,Deutschland
Passau,Bayern,Deutschland
Böblingen,Baden-Württemberg,Deutschland
Urbach,Baden-Württemberg,Deutschland
Monheim am Rhein,Nordrhein-Westfalen,Deutschland
Potsdam,Brandenburg,Deutschland
Klein Königsförde,Schleswig-Holstein,Deutschland
Buch,Berlin,Deutschland
Espelkamp,Nordrhein-Westfalen,Deutschland
"Neumarkt in der Oberpfalz,Wettstetten",NA,NA
Lich,Hessen,Deutschland
Grünwald,Bayern,Deutschland
Grebenhain-Bermuthshain,Hessen,Deutschland
Burgdorf,Niedersachsen,Deutschland
Wachau OT Leppersdorf,NA,NA
Erlabrunn,Bayern,Deutschland
Marsberg,Nordrhein-Westfalen,Deutschland
Celle,Niedersachsen,Deutschland
Hagelberg,Brandenburg,Deutschland
Garbsen,Niedersachsen,Deutschland
Bad Homburg,Hessen,Deutschland
Wesel,Nordrhein-Westfalen,Deutschland
Weimar,Thüringen,Deutschland
CH- Suvigliana,NA,NA
CH-Lausanne,NA,NA
Wachsenburggemeinde,NA,NA
Altenkirchen,Mecklenburg-Vorpommern,Deutschland
Delmenhorst,Niedersachsen,Deutschland
Duderstadt,Niedersachsen,Deutschland
Obertraubling,Bayern,Deutschland
Willebadessen,Nordrhein-Westfalen,Deutschland
CH- Klosters,NA,NA
Kronberg im Taunus,Hessen,Deutschland
Blaichach,Bayern,Deutschland
CH- Bulle,NA,NA
Coppenbrügge,Niedersachsen,Deutschland
Aichtal,Baden-Württemberg,Deutschland
Weißenstadt,Bayern,Deutschland
Hösbach,Bayern,Deutschland
Hasselfelde,Sachsen-Anhalt,Deutschland
Wanderup,Schleswig-Holstein,Deutschland
Gersthofen,Bayern,Deutschland
Schuby,Schleswig-Holstein,Deutschland
Hennef,Nordrhein-Westfalen,Deutschland
Forchheim,Bayern,Deutschland
Unterföhring,Bayern,Deutschland
Feldafing,Bayern,Deutschland
Künzelsau,Baden-Württemberg,Deutschland
NL- Norderfriedrichskoog,NA,NA
Parsberg,Bayern,Deutschland
Saarlouis,Saarland,Deutschland
Halle (Saale),Sachsen-Anhalt,Deutschland
Pfronten,Bayern,Deutschland
Seesen,Niedersachsen,Deutschland
Marktredwitz,Bayern,Deutschland
Asbach-Bäumenheim,Bayern,Deutschland
Teltow,Brandenburg,Deutschland
Bitterfeld-Wolfen,Sachsen-Anhalt,Deutschland
Zeven,Niedersachsen,Deutschland
Weinheim,Baden-Württemberg,Deutschland
Ortenberg,Hessen,Deutschland
Boxberg/Oberlausitz,NA,NA
Waldhufen,Sachsen,Deutschland
Rottenburg an der Laaber,Bayern,Deutschland
Oberaudorf,Bayern,Deutschland
Osterode am Harz,Niedersachsen,Deutschland
Remscheid,Nordrhein-Westfalen,Deutschland
Mülheim,Nordrhein-Westfalen,Deutschland
Gottmadingen,Baden-Württemberg,Deutschland
Wendisch Waren,Mecklenburg-Vorpommern,Deutschland
Gundelsheim,Baden-Württemberg,Deutschland
Haldensleben,Sachsen-Anhalt,Deutschland
Coswig,Sachsen,Deutschland
Thierhaupten,Bayern,Deutschland
Eisenach,Thüringen,Deutschland
Hachelbich,Thüringen,Deutschland
Prenzlau,Brandenburg,Deutschland
Schönwald,Bayern,Deutschland
Grünhainichen,Sachsen,Deutschland
Tornow,Brandenburg,Deutschland
Erding,Bayern,Deutschland
Marktheidenfeld,Bayern,Deutschland
Monheim am Rhein Baumberg,Nordrhein-Westfalen,Deutschland
Bous,Saarland,Deutschland
Bäch,Sachsen-Anhalt,Deutschland
Kirchhundem,Nordrhein-Westfalen,Deutschland
Buchbach,Bayern,Deutschland
Waren,Mecklenburg-Vorpommern,Deutschland
Putzbrunn,Bayern,Deutschland
Weißenhorn,Bayern,Deutschland
Hannover,Niedersachsen,Deutschland
CH-Zug,NA,NA
Tessenow,Mecklenburg-Vorpommern,Deutschland
Rodewisch,Sachsen,Deutschland
Hagenow,Mecklenburg-Vorpommern,Deutschland
Sarstedt,Niedersachsen,Deutschland
Eitting,Bayern,Deutschland
Glashütten,Hessen,Deutschland
Aurich,Niedersachsen,Deutschland
Hünxe,Nordrhein-Westfalen,Deutschland
Staßfurt,Sachsen-Anhalt,Deutschland
Büdingen,Hessen,Deutschland
Wietmarschen,Niedersachsen,Deutschland
Arzberg,Bayern,Deutschland
Melle,Niedersachsen,Deutschland
Schwarzenbach an der Saale,Bayern,Deutschland
Bad Salzuflen,Nordrhein-Westfalen,Deutschland
Aalen,Baden-Württemberg,Deutschland
Horb am Neckar,Baden-Württemberg,Deutschland
Frechen,Nordrhein-Westfalen,Deutschland
Gütersloh,Nordrhein-Westfalen,Deutschland
Ingersheim,Baden-Württemberg,Deutschland
Plattling,Bayern,Deutschland
Lauenburg/Elbe,Schleswig-Holstein,Deutschland
Erlangen,Bayern,Deutschland
Reutlingen,Baden-Württemberg,Deutschland
Zweibrücken,Rheinland-Pfalz,Deutschland
Castrop-Rauxel,Nordrhein-Westfalen,Deutschland
Rietberg,Nordrhein-Westfalen,Deutschland
Eydelstedt,Niedersachsen,Deutschland
Stadtilm,Thüringen,Deutschland
Lauchringen,Baden-Württemberg,Deutschland
Papenburg,Niedersachsen,Deutschland
Korbach,Hessen,Deutschland
Herschberg,Rheinland-Pfalz,Deutschland
Sinzig,Rheinland-Pfalz,Deutschland
Scharnebeck,Niedersachsen,Deutschland
Erkelenz,Nordrhein-Westfalen,Deutschland
Töging am Inn,Bayern,Deutschland
Bad Segeberg,Schleswig-Holstein,Deutschland
Thalheim,Sachsen,Deutschland
Viernheim,Hessen,Deutschland
Immenstadt im Allgäu,Bayern,Deutschland
Osterby,Schleswig-Holstein,Deutschland
Hartmannsdorf,Thüringen,Deutschland
Altenstadt,Bayern,Deutschland
Willingen (Upland),Hessen,Deutschland
CH- Caslano,NA,NA
Bremen,Bremen,Deutschland
Wildflecken,Bayern,Deutschland
Auengrund,Thüringen,Deutschland
Niedling,Bayern,Deutschland
Göppingen,Baden-Württemberg,Deutschland
Kirchlinteln,Niedersachsen,Deutschland
Fronhausen,Hessen,Deutschland
Eichstetten,Baden-Württemberg,Deutschland
Landau in der Pfalz,Rheinland-Pfalz,Deutschland
Kunreuth,Bayern,Deutschland
Steinfeld,Schleswig-Holstein,Deutschland
Prichsenstadt,Bayern,Deutschland
Marl,Nordrhein-Westfalen,Deutschland
Bernau am Chiemsee,Bayern,Deutschland
Hademstorf,Niedersachsen,Deutschland
Bergheim,Nordrhein-Westfalen,Deutschland
Neu Wulmsdorf,NA,NA
Salzgitter,Niedersachsen,Deutschland
Stallwang,Bayern,Deutschland
Rain,Bayern,Deutschland
Soll / Tirol,NA,NA
Bochum,Nordrhein-Westfalen,Deutschland
Tutzing,Bayern,Deutschland
Hückeswagen,Nordrhein-Westfalen,Deutschland
Pulheim,Nordrhein-Westfalen,Deutschland
Gunzesried,Bayern,Deutschland
Vilshofen,Bayern,Deutschland
Lehesten,Thüringen,Deutschland
Aumühle,Schleswig-Holstein,Deutschland
Pfatter,Bayern,Deutschland
Metzingen,Baden-Württemberg,Deutschland
Oldenburg (Oldenburg),Niedersachsen,Deutschland
Mittelbach bei Chemnitz,Sachsen,Deutschland
Wittichenau,Sachsen,Deutschland
Lohfelden,Hessen,Deutschland
Stahnsdorf,Brandenburg,Deutschland
Claußnitz,Sachsen,Deutschland
Langerwisch,Brandenburg,Deutschland
Bad Wildungen,Hessen,Deutschland
Lutherstadt Wittenberg,Sachsen-Anhalt,Deutschland
Moers,Nordrhein-Westfalen,Deutschland
Weimar-Legefeld,Thüringen,Deutschland
Barsbüttel,Schleswig-Holstein,Deutschland
Brome,Niedersachsen,Deutschland
Bingen am Rhein,Rheinland-Pfalz,Deutschland
Bingen/Rhein,Rheinland-Pfalz,Deutschland
Nidda,Hessen,Deutschland
Rastatt,Baden-Württemberg,Deutschland
Kleinkahl,Bayern,Deutschland
CH- Schindellegi,NA,NA
Gimbsheim,Rheinland-Pfalz,Deutschland
Halberstadt,Sachsen-Anhalt,Deutschland
Biberach an der Riß Bergerhausen,Baden-Württemberg,Deutschland
Seelze,Niedersachsen,Deutschland
Hamm,Nordrhein-Westfalen,Deutschland
Flensburg,Schleswig-Holstein,Deutschland
Ergolding,Bayern,Deutschland
Stadtbergen,Bayern,Deutschland
Oppenweiler,Baden-Württemberg,Deutschland
Rotterode,Thüringen,Deutschland
Neuruppin,Brandenburg,Deutschland
Waldbröl,Nordrhein-Westfalen,Deutschland
Neustadt am Rübenberge,Niedersachsen,Deutschland
Wald,Nordrhein-Westfalen,Deutschland
Glienick,Brandenburg,Deutschland
Arneburg,Sachsen-Anhalt,Deutschland
Lubmin,Mecklenburg-Vorpommern,Deutschland
Crailsheim,Baden-Württemberg,Deutschland
Schwülper,Niedersachsen,Deutschland
Mittenwalde,Brandenburg,Deutschland
Woltersdorf,Schleswig-Holstein,Deutschland
Heidenheim,Baden-Württemberg,Deutschland
Swisttal,Nordrhein-Westfalen,Deutschland
Holzminden,Niedersachsen,Deutschland
Paderborn,Nordrhein-Westfalen,Deutschland
Dachau,Bayern,Deutschland
Leun,Hessen,Deutschland
Lemgo,Nordrhein-Westfalen,Deutschland
Frankenberg,Sachsen,Deutschland
Seevetal,Niedersachsen,Deutschland
Dähre,Sachsen-Anhalt,Deutschland
Friedrichshafen,Baden-Württemberg,Deutschland
Schönwölkau,Sachsen,Deutschland
Trossingen,Baden-Württemberg,Deutschland
Brackenheim,Baden-Württemberg,Deutschland
Auerbach,Sachsen,Deutschland
Bünde,Nordrhein-Westfalen,Deutschland
Bischberg,Bayern,Deutschland
Isen,Bayern,Deutschland
Mühldorf am Inn,Bayern,Deutschland
Rust,Baden-Württemberg,Deutschland
Roggentin,Mecklenburg-Vorpommern,Deutschland
CH- Ruvigliana,NA,NA
Neuffen,Baden-Württemberg,Deutschland
Offenburg,Baden-Württemberg,Deutschland
Borna,Sachsen,Deutschland
Hammelburg,Bayern,Deutschland
Berlin Friedrichshain,Berlin,Deutschland
Mellrichstadt,Bayern,Deutschland
Roßla,Sachsen-Anhalt,Deutschland
Bokel,Schleswig-Holstein,Deutschland
Kaschenbach,Rheinland-Pfalz,Deutschland
Taucha,Sachsen,Deutschland
Sindelfingen,Baden-Württemberg,Deutschland
Diepholz,Niedersachsen,Deutschland
Delbrück,Nordrhein-Westfalen,Deutschland
Aachen,Nordrhein-Westfalen,Deutschland
Budenheim,Rheinland-Pfalz,Deutschland
Ringe,NA,NA
Vechta,Niedersachsen,Deutschland
Jößnitz,Sachsen,Deutschland
Hindenberg,Brandenburg,Deutschland
Lupburg,Bayern,Deutschland
Zeulenroda,Thüringen,Deutschland
Schwalbach,Saarland,Deutschland
Emden,Niedersachsen,Deutschland
Frauenneuharting,Bayern,Deutschland
Bunde,Niedersachsen,Deutschland
Freiberg,Sachsen,Deutschland
Saara,Thüringen,Deutschland
Kamenz,Sachsen,Deutschland
Werlaburgdorf,Niedersachsen,Deutschland
Bad Bramstedt,Schleswig-Holstein,Deutschland
Velpke,Niedersachsen,Deutschland
Hürth,Nordrhein-Westfalen,Deutschland
Rottach-Egern,Bayern,Deutschland
Gemünden am Main,Bayern,Deutschland
Emmering,Bayern,Deutschland
Döbern,Brandenburg,Deutschland
Immenstadt,Bayern,Deutschland
Hofheim am Taunus,Hessen,Deutschland
Kampen,Schleswig-Holstein,Deutschland
Illertissen,Bayern,Deutschland
Oestrich-Winkel,Hessen,Deutschland
Hildesheim,Niedersachsen,Deutschland
Butzbach,Hessen,Deutschland
Wedel,Schleswig-Holstein,Deutschland
Püttlingen,Saarland,Deutschland
Rüssingen,Rheinland-Pfalz,Deutschland
Sörgenloch,Rheinland-Pfalz,Deutschland
Amsdorf,Sachsen-Anhalt,Deutschland
Weiden,Baden-Württemberg,Deutschland
Reichenschwand,Bayern,Deutschland
Scheeßel,Niedersachsen,Deutschland
Durach,Bayern,Deutschland
Basdorf,Brandenburg,Deutschland
Bad Homburg vor der Höhe,Hessen,Deutschland
Glauburg,Hessen,Deutschland
Rehborn,Rheinland-Pfalz,Deutschland
Cottbus,Brandenburg,Deutschland
Trier,Rheinland-Pfalz,Deutschland
Seebach,Bayern,Deutschland
Neugattersleben,Sachsen-Anhalt,Deutschland
Langenhagen,Niedersachsen,Deutschland
Niefern-Öschelbronn,Baden-Württemberg,Deutschland
Wolfsburg,Niedersachsen,Deutschland
Unna,Nordrhein-Westfalen,Deutschland
Bad Gandersheim,Niedersachsen,Deutschland
Tuchenbach,Bayern,Deutschland
Bad Rothenfelde,Niedersachsen,Deutschland
Chemnitz,Sachsen,Deutschland
Neunkirchen,Saarland,Deutschland
Rheinberg,Nordrhein-Westfalen,Deutschland
Helmstedt,Niedersachsen,Deutschland
Neu-Ulm,Bayern,Deutschland
Neunburg vorm Wald,Bayern,Deutschland
Elsterwerda,Brandenburg,Deutschland
Haan,Nordrhein-Westfalen,Deutschland
"Leuna,Gründau",NA,NA
Landsberg am Lech,Bayern,Deutschland
Wittenburg,Mecklenburg-Vorpommern,Deutschland
München,Bayern,Deutschland
Jesteburg,Niedersachsen,Deutschland
Emstek,Niedersachsen,Deutschland
Werdau,Sachsen,Deutschland
Neu-Isenburg,Hessen,Deutschland
Pegnitz,Bayern,Deutschland
Manderscheid,Rheinland-Pfalz,Deutschland
Sankt Ingbert,Saarland,Deutschland
Hausen,Hessen,Deutschland
Guttenberg,Bayern,Deutschland
Radeburg,Sachsen,Deutschland
Offenbach,Hessen,Deutschland
Bubsheim,Baden-Württemberg,Deutschland
Aschaffenburg,Bayern,Deutschland
Ralswiek,Mecklenburg-Vorpommern,Deutschland
Lemgow,Niedersachsen,Deutschland
Wilhelmshaven,Niedersachsen,Deutschland
Hanhofen,Rheinland-Pfalz,Deutschland
Emmerich,Nordrhein-Westfalen,Deutschland
Glauchau,Sachsen,Deutschland
Wieda,Niedersachsen,Deutschland
Wien,Bayern,Deutschland
Oberhaching,Bayern,Deutschland
Regenstauf,Bayern,Deutschland
Wiesbaden,Hessen,Deutschland
Bocholt,Nordrhein-Westfalen,Deutschland
Wulferstedt,Sachsen-Anhalt,Deutschland
Eltville am Rhein,Hessen,Deutschland
Wörrstadt,Rheinland-Pfalz,Deutschland
Neustadt an der Weinstraße,Rheinland-Pfalz,Deutschland
Rehburg-Loccum,Niedersachsen,Deutschland
Filderstadt,Baden-Württemberg,Deutschland
Eppelheim,Baden-Württemberg,Deutschland
Brandenburg an der Havel,Brandenburg,Deutschland
Blieskastel,Saarland,Deutschland
Dormagen,Nordrhein-Westfalen,Deutschland
Aue,Sachsen,Deutschland
Missen-Wilhams,Bayern,Deutschland
Weilrod,Hessen,Deutschland
Hessisch Oldendorf,Niedersachsen,Deutschland
Delligsen,Niedersachsen,Deutschland
Schwanau,Baden-Württemberg,Deutschland
Ampfing,Bayern,Deutschland
Hausham,Bayern,Deutschland
Ottobrunn,Bayern,Deutschland
Wollerau,NA,NA
Meerane,Sachsen,Deutschland
Dülmen,Nordrhein-Westfalen,Deutschland
Waldshut-Tiengen,Baden-Württemberg,Deutschland
Worms,Rheinland-Pfalz,Deutschland
Haldenwang,Bayern,Deutschland
Wildenberg,Bayern,Deutschland
Marktrodach,Bayern,Deutschland
Ellingen,Bayern,Deutschland
Müden (Aller),Niedersachsen,Deutschland
Schönefeld,Brandenburg,Deutschland
Neustadt an der Aisch,Bayern,Deutschland
Gomadingen,Baden-Württemberg,Deutschland
Dahn,Rheinland-Pfalz,Deutschland
Schmallenberg,Nordrhein-Westfalen,Deutschland
Schwangau,Bayern,Deutschland
Erftstadt,Nordrhein-Westfalen,Deutschland
Bad Dürrheim,Baden-Württemberg,Deutschland
Löhne,Nordrhein-Westfalen,Deutschland
Zörbig,Sachsen-Anhalt,Deutschland
Prötzel Prädikow,Brandenburg,Deutschland
Grünberg,Hessen,Deutschland
Pötenitz,Mecklenburg-Vorpommern,Deutschland
Eichenzell,Hessen,Deutschland
Bischofferode,Hessen,Deutschland
Ismaning,Bayern,Deutschland
Eggolsheim,Bayern,Deutschland
Bad Staffelstein,Bayern,Deutschland
Groß Rosenburg,Sachsen-Anhalt,Deutschland
Wismar,Mecklenburg-Vorpommern,Deutschland
Moritzburg,Sachsen,Deutschland
Kohren-Sahlis,Sachsen,Deutschland
Edenkoben,Rheinland-Pfalz,Deutschland
Gerlingen,Baden-Württemberg,Deutschland
Eschweiler,Nordrhein-Westfalen,Deutschland
Kochel am See,Bayern,Deutschland
Oberursel,Hessen,Deutschland
Dernbach,Rheinland-Pfalz,Deutschland
Rastenberg,Thüringen,Deutschland
Backnang,Baden-Württemberg,Deutschland
Frankenhardt,Baden-Württemberg,Deutschland
Spora,Sachsen-Anhalt,Deutschland
Bad Hersfeld,Hessen,Deutschland
Garlin,Brandenburg,Deutschland
Hornbach,Rheinland-Pfalz,Deutschland
Kasendorf,Bayern,Deutschland
Stahlhofen,Rheinland-Pfalz,Deutschland
Neu Kosenow,Mecklenburg-Vorpommern,Deutschland
Zwenkau,Sachsen,Deutschland
Bad Kleinen,Mecklenburg-Vorpommern,Deutschland
Jöhstadt,Sachsen,Deutschland
Korschenbroich,Nordrhein-Westfalen,Deutschland
Gräfelfing/Berlin,NA,NA
Kirchheim,Bayern,Deutschland
Deetz,Sachsen-Anhalt,Deutschland
Leer (Ostfriesland),Niedersachsen,Deutschland
Bolanden,Rheinland-Pfalz,Deutschland
Wildau,Brandenburg,Deutschland
Erlenbach am Main,Bayern,Deutschland
Strande,Schleswig-Holstein,Deutschland
Bielefeld,Nordrhein-Westfalen,Deutschland
Kaiserslautern,Rheinland-Pfalz,Deutschland
Merzig,Saarland,Deutschland
Biersdorf,Rheinland-Pfalz,Deutschland
Schwentinental,Schleswig-Holstein,Deutschland
Schwabach,Bayern,Deutschland
Chorin,Brandenburg,Deutschland
Kleinschmalkalden,Thüringen,Deutschland
Dußlingen,Baden-Württemberg,Deutschland
Nordenham,Niedersachsen,Deutschland
Stadecken-Elsheim,Rheinland-Pfalz,Deutschland
Runding,Bayern,Deutschland
Rheda-Wiedenbrück,Nordrhein-Westfalen,Deutschland
Windhagen,Rheinland-Pfalz,Deutschland
Iserlohn,Nordrhein-Westfalen,Deutschland
Innernzell,Bayern,Deutschland
Sengenthal,Bayern,Deutschland
Georgsmarienhütte,Niedersachsen,Deutschland
Friedersdorf,Thüringen,Deutschland
Heringen (Werra),Hessen,Deutschland
Schönebeck (Elbe),Sachsen-Anhalt,Deutschland
Stendal,Sachsen-Anhalt,Deutschland
Naunhof,Sachsen,Deutschland
Lauterach,Baden-Württemberg,Deutschland
Hohenstein,Hessen,Deutschland
Geilenkirchen,Nordrhein-Westfalen,Deutschland
Elmshorn,Schleswig-Holstein,Deutschland
Lieskau,Sachsen-Anhalt,Deutschland
Albstadt,Baden-Württemberg,Deutschland
Bad Bergzabern,Rheinland-Pfalz,Deutschland
Traunstein,Bayern,Deutschland
Biebergemünd,Hessen,Deutschland
Osann-Monzel,Rheinland-Pfalz,Deutschland
Freyung,Bayern,Deutschland
Wolfenbüttel,Niedersachsen,Deutschland
Wörth am Rhein,Rheinland-Pfalz,Deutschland
Leipzig,Sachsen,Deutschland
Daldorf,Schleswig-Holstein,Deutschland
Fröndenberg,Nordrhein-Westfalen,Deutschland
Lörrach,Baden-Württemberg,Deutschland
Steinfurt,Nordrhein-Westfalen,Deutschland
Hohenstadt,Baden-Württemberg,Deutschland
Hattersheim,Hessen,Deutschland
Buttenheim,Bayern,Deutschland
Haar,Bayern,Deutschland
Donauwörth,Bayern,Deutschland
Vaterstetten,Bayern,Deutschland
Mindelheim,Bayern,Deutschland
Planegg,Bayern,Deutschland
Volkach,Bayern,Deutschland
Kierspe,Nordrhein-Westfalen,Deutschland
Leutkirch im Allgäu,Baden-Württemberg,Deutschland
Niestetal,Hessen,Deutschland
Varel,Niedersachsen,Deutschland
Genthin,Sachsen-Anhalt,Deutschland
Bad Rodach-Heldritt,Bayern,Deutschland
Norderstedt,Schleswig-Holstein,Deutschland
